	C	FDR_C	I	FDR_I	G	FDR_G	FDR
1110032F04Rik	0.4665061987863583	0.4766877075537992	0.05418306060028627	0.1459026685414139	5.7956601446473854e-05	0.00025944117751210475	3.693963416077681e-07
1110038F14Rik	0.2617828230046494	0.31794867161905793	0.35769050038044237	0.5780981714049076	0.3224099215236027	0.3933860431606157	0.5730921392006205
1110051M20Rik	0.024527347896460824	0.04836858161348754	0.025174111606150452	0.07703970007141421	0.010862359845890568	0.03030370460706176	0.08246345110032492
1110059E24Rik	0.2638782629638936	0.3196616514752372	0.6061842284371247	0.7844689982112235	0.11350956869551776	0.20147562090568413	0.005991844863428422
1110059G10Rik	0.06586760311020524	0.10880590743036096	0.3182079195302784	0.5355753011812432	0.05630684581377121	0.11822386589439556	0.14670880421742527
1110065P20Rik	5.159352280703773e-06	2.27322360605289e-05	0.18498883434929925	0.37009097341543146	0.1975610424971519	0.29181499177413195	0.7276402576483191
1190002N15Rik	9.660988602135557e-07	4.645143636522391e-06	0.00021082208615754152	0.0010237094262922444	2.105805663177307e-06	1.0906337047290926e-05	3.0037104864382823e-10
1190005I06Rik	2.7094132858135355e-23	3.425747198411205e-22	0.1918180142247895	0.3784225329955128	0.1567741073704052	0.2504449752400718	0.038683534082017204
1190007I07Rik	0.39551587577516656	0.42599448590283695	0.03916639608695853	0.11241696404689708	0.10179957901357706	0.18699438227243897	0.23819189827765208
1500009C09Rik	0.042185953782591594	0.07554462008691795	0.010437696965421527	0.03614512219568994	0.009677662025032951	0.02749975596359795	0.08553737234281635
1500009L16Rik	0.00035755406876747896	0.0011714049882489222	0.017141517342266023	0.055637538402406345	0.0002452557247467624	0.000999276859373607	0.00020872269314326942
1500011B03Rik	0.2871616432548063	0.3405830237537941	0.9777540275694793	0.989160821407529	0.19691744443822867	0.2912559653201264	0.7193674170212858
1500011K16Rik	0.3301267412234492	0.3756284181663468	0.1155309551829276	0.26290938918660184	0.000777568085065683	0.0028817661367468335	0.1009361947095495
1600002K03Rik	0.1925694271896532	0.25306995076611777	0.5702929211924856	0.7548696926604305	0.22981367602980074	0.3213885644290707	0.24990507449682486
